iso2,iso3,name,nameOfficial,numericCode,phoneCode,currencyCode,currencyName,continentCode,subregion,capital,lat,lon,tzDefault,operationalStatus,aviationGroup,isSchengen,isEu,icaoRegionCode,firCode,aviationAuthority
IN,IND,India,Republic of India,356,91,INR,Indian Rupee,AS,Southern Asia,New Delhi,20.0,77.0,Asia/Kolkata,ACTIVE,APAC,false,false,VH,VABB,DGCA
DE,DEU,Germany,Federal Republic of Germany,276,49,EUR,Euro,EU,Western Europe,Berlin,51.0,10.0,Europe/Berlin,ACTIVE,EUROPE,true,true,ED,EDGG,LBA
